Manufacturer;Model;Physical Qubits;Logical Qubits;Technology;Availability;Availability Date;Retired Date;GF(1);GF(2);GF(3);GF(4);T1;T2;QV
Alice & Bob;Boson 4;1;0;Superconducting;Retired;;2024;;;;;;;
Alice & Bob;Helium;16;1;Superconducting;Available;2025;;;;;;;;
Alice & Bob;Lithium;48;4;Superconducting;Planned;;;;;;;;;
Alice & Bob;Beryllium;250;5;Superconducting;Planned;;;;;;;;;
Alice & Bob;Graphene;2000;100;Superconducting;Planned;2030;;;;;;;;
Alpine Quantum Technologies (AQT);;12;;Trapped Ions;Available;;;99.97;98.7;;;1000000.0;1000000.0;128.0
Alpine Quantum Technologies (AQT);PINE System;24;;Trapped Ions;Available;2021;;99.96;98.5;;;1170000.0;500000.0;128.0
Anyon Systems;Yamaska ;12;;Superconducting;Available;2023;;;;;;;;
Atlantic Quantum;;;;Superconducting;In Development;;;;;;;;;
Atom Computing;Phoenix;100;;Neutral Atoms;Research;2021;;;99.5;;;;;
Atom Computing;;1225;;Neutral Atoms;Research;;;;99.5;;;;;
Baidu;Qian Shi;10;;Superconducting;Available;2022;;99.8;96.4;;;31.0;8.7;
Baidu;;36;;Superconducting;In Development;;;;;;;;;
Beijing Academy of Quantum Information Sciences (BAQIS);Dongling;130;;Superconducting;Available;;;;96.3;;;59.5;;
Beijing Academy of Quantum Information Sciences (BAQIS);Haituo;117;;Superconducting;Available;;;;99.0;;;61.6;;
Beijing Academy of Quantum Information Sciences (BAQIS);Yunmeng;72;;Superconducting;Available;;;99.93;99.3;;;83.7;64.3;
Beijing Academy of Quantum Information Sciences (BAQIS);Miaofeng;72;;Superconducting;Available;;;99.9;98.8;;;76.7;22.7;
Beijing Academy of Quantum Information Sciences (BAQIS);Baihua;156;;Superconducting;Available;;;99.93;98.6;;;71.6;23.7;
Beijing Academy of Quantum Information Sciences (BAQIS);ScQP21;11;;Superconducting;Retired;;;;77.7;;;31.7;;
