Organization;Acronym;Type;Link;Location;Specialization
Auburn University - Quantum Systems;AUQuaS;university;https://quantum.auburn.edu/;USA;
Boston College;;university;https://www.bc.edu/content/bc-web/schools/mcas/departments/physics/research/quantum-information.html;USA;
Boston University;;university;https://library.bu.edu/quantum_computing/BU;USA;
California Institute of Technology - Institute for Quantum Information and Matter;IQIM;university;http://iqim.caltech.edu/;USA;
Carnegie Mellon University - Pittsburgh Quantum Institute;;university;http://pqi.org;USA;
Chapman University - Institute for Quantum Studies;;university;http://www.chapman.edu/research-and-institutions/quantum-studies/;USA;
Colorado School of Mines;;university;https://quantum.mines.edu/;USA;
Columbia University;;university;https://quantum.columbia.edu/;USA;
Cornell University - McMahon Lab;;university;http://mcmahon.aep.cornell.edu/;USA;
Dartmouth - Quantum and Condensed Matter Physics Group;;university;https://physics.dartmouth.edu/research/quantum-and-condensed-matter-physics;USA;
Duke University;;university;http://quantum.duke.edu/;USA;
Duquesne University - Pittsburgh Quantum Institute;;university;https://www.pqi.org/;USA;
Florida State University;;university;https://news.fsu.edu/news/science-technology/2023/04/12/fsu-announces-bold-investments-in-quantum-science-and-engineering/;USA;
Georgia Tech Research Institute - Quantum Systems Group;;university;http://quantum.gatech.edu/home.shtml;USA;
Harrisburg University of Science and Technology;;university;https://harrisburgu.edu/hu-to-launch-quantum-information-science-concentration/;USA;
Harvard University - Harvard Quantum Initiative;HQI;university;https://quantum.harvard.edu/;USA;
Howard University;;university;https://coas.howard.edu/research/research-initiatives/hbcu-quantum-howard-university;USA;
Indiana University Bloomington - Quantum Science and Engineering Center;QSEc;university;https://qsec.sitehost.iu.edu/;USA;
Lehigh University - Quantum Computing and Optimization Lab;QCOL;university;https://quantum-computing.lehigh.edu/;USA;
LoUSAa State University - Quantum Science and Technologies Group;;university;http://quantum.phys.lsu.edu/;USA;
Massachusetts Institute of Technology - Engineering Quantum Systems Group;;university;http://equs.mit.edu/;USA;
Michigan State University - Laboratory for Hybrid Quantum Systems;;university;https://www.hybridquantumlab.com/;USA;
MIT Center for Quantum Engineering;MIT-CQE;university;http://www.rle.mit.edu/cqe/;USA;
MIT Lincoln Laboratory - Quantum Information and Integrated Nanosystems;;university;http://www.ll.mit.edu/mission/electronics/qiin/qiin.html;USA;
North Carolina State University;;university;https://quantum.ncsu.edu/;USA;
New York University (NYU) - Center for Quantum Information Physics;;university;https://as.nyu.edu/departments/physics/research/center-for-quantum-information-physics.html;USA;
Northeastern University - Experiential Quantum Advancement Laboratories;EQUAL;university;https://news.northeastern.edu/2022/09/07/quantum-technology/;USA;
Northwestern University INQUIRE Initiative;;university;https://quantum.northwestern.edu/;USA;
Ohio State University - Center for Quantum Information Science and Engineering;;university;https://quantum.osu.edu/;USA;
Princeton University - Quantum Science and Engineering;;university;https://quantum.princeton.edu/;USA;
Purdue University;;university;https://engineering.purdue.edu/PQC;USA;
Rensselaer Polytechnic Institute - Curtis Priem Quantum Constellation;;university;https://science.rpi.edu/mathematical-sciences/news/rensselaer-polytechnic-institute-plans-deploy-first-ibm-quantum-system;USA;
Rice University - Quantum Initiative;;university;https://quantum.rice.edu/;USA;
South Dakota Mines - Quantum Materials Institute;;university;https://www.sdsmt.edu/news/releases/quantummaterialsinstitute.html;USA;
Southern Illinois University - Quantum Computing Group;;university;http://www.physics.siu.edu/qc/;USA;
Stanford University - Q-Farm (Stanford-SLAC Quantum Initiative);;university;https://qfarm.stanford.edu/;USA;
Stanford University - Yamamoto Group;;university;https://web.stanford.edu/group/yamamotogroup/research/research.html;USA;
Stony Brook University;;university;http://qit.physics.sunysb.edu/new/;USA;
Syracuse University - Plourde Research Lab;;university;http://plourdelab.syr.edu/;USA;
Texas A&M - Computational and Data Intensive Physics Group;;university;https://intractable.lol/;USA;
Tufts University;;university;https://now.tufts.edu/articles/quantum-leap-computing-power;USA;
Tulane University;;university;http://www2.tulane.edu/sse/pep/research/theoretical-research/;USA;
University of Arizona - Quantum Information and Materials Group;;university;https://quantum.lab.arizona.edu/;USA;
University of California, Berkeley - Berkeley Quantum Information & Computation Center;;university;http://bqic.berkeley.edu/;USA;
University of California, Davis - Center for Quantum Mathematics and Physics;QMAP;university;http://qmap.ucdavis.edu/;USA;
University of California, Irvine - Eddleman Quantum Institute;;university;https://eqi.uci.edu/;USA;
University of California, Los Angeles (UCLA) - Center for Quantum Science & Engineering (CQSE);;university;http://www.cqse.ucla.edu/;USA;
University of California, Riverside - Hemmerling Lab;;university;https://molecules.ucr.edu/;USA;
University of California at Santa Barbara - Center for Spintronics and Quantum Computation;;university;http://www.csqc.ucsb.edu/;USA;
University of Chicago - Chicago Quantum Exchange;;university;http://quantum.uchicago.edu/;USA;
University of Colorado Boulder;JILA;university;https://jila.colorado.edu/research/quantum-information;USA;
University of Illinois at Urbana-Champaign;;university;https://iquist.illinois.edu/;USA;
University of Maryland, Baltimore County - Center for Accelerated Real Time Analytics;CARTA;university;https://carta.umbc.edu/;USA;
University of Maryland, College Park - Joint Center for Quantum Information and Computer Science;QuICS;university;http://quics.umd.edu/;USA;
University of Maryland, College Park - Joint Quantum Institute;JQI;university;http://jqi.umd.edu/;USA;
University of Maryland, College Park - Quantum Technology Center;QTC;university;https://eng.umd.edu/news/story/university-of-maryland-launches-quantum-technology-center;USA;
University of Maryland - Institute for Robust Quantum Simulation;RQS;university;https://rqs.umd.edu/;USA;
University of Massachusetts Lowell - Quantum Engineering Science and Technology Group;QUEST;university;https://sites.google.com/site/kamalarchana/;USA;
University of Michigan - Quantum Research Institute;;university;https://research.umich.edu/quantum/;USA;
University of New Mexico - Center for Quantum Information and Control;CQuIC;university;http://physics.unm.edu/CQuIC/;USA;
University of Oklahoma - Center for Quantum Research and Technology;;university;https://ou.edu/cqrt;USA;
University of Oregon - Oregon Center for Optical, Molecular and Quantum Science;;university;http://omq.uoregon.edu/;USA;
University of Pennsylvania - Penn Quantum Hardware Lab;;university;https://www.pennqubit.com/home;USA;
University of Pittsburgh - Pittsburgh Quantum Institute;;university;http://pqi.org;USA;
University of Rochester - Quantum Nanostructures Group;;university;https://labsites.rochester.edu/nicholgroup/;USA;
University of Southern California - Information Sciences Institute;;university;http://www.isi.edu/research_groups/quantum_computing/home;USA;
University of Tennessee Chattanooga - Quantum Initiative;;university;https://www.utc.edu/research/utc-quantum-initiative;USA;
University of Tennessee Knoxville - Quantum Technologies Group;;university;http://aesop.phys.utk.edu/QI/;USA;
University of Texas at Austin - Quantum Information Center;;university;http://www.cs.utexas.edu/~qic/;USA;
University of Texas at Austin - Texas Quantum Institute;;university;https://quantum.utexas.edu/;USA;
University of Virginia - Quantum Fields and Quantum Information;QFQI;university;https://sites.google.com/view/qfqi;USA;
University of Washington - QuantumX Initiative;;university;https://www.quantumx.washington.edu/;USA;
University of Washington - Trapped Ion Quantum Computing Group;;university;http://depts.washington.edu/qcomp/index.html;USA;
University of Wisconsin at Madison - Wisconsin Institute for Quantum Information;;university;http://wiqi.physics.wisc.edu/;USA;
Virginia Tech - Center for Quantum Information Science and Engineering;;university;https://vtq.vt.edu/;USA;
Washington University - Center for Quantum Leaps;;university;https://quantumleaps.wustl.edu/;USA;
Wichita State University;;university;https://www.wichita.edu/academics/fairmount_college_of_liberal_arts_and_sciences/physics/Research/quantum.php;USA;
Yale Quantum Institute;;university;http://quantuminstitute.yale.edu/;USA;
Simon Fraser University - Silicon Quantum Technology Lab;;university;http://www.sfu.ca/physics/siliconquantum/;Canada;
Universita de Sherbrooke - EPIQ;;university;https://epiq.physique.usherbrooke.ca/;Canada;
Universita de Sherbrooke - Institut quantique;;university;https://www.usherbrooke.ca/iq/en/;Canada;
University of British Columbia - Advanced Materials and Process Engineering Laboratory;AMPEL;university;http://www.ampel.ubc.ca/research/qc/;Canada;
University of British Columbia - Quantum Information Science;;university;http://www.qi.ubc.ca/;Canada;
University of British Columbia - Quantum Matter institute;;university;https://qmi.ubc.ca/;Canada;
University of Calgary - Institute for Quantum Science and Technology;;university;http://www.iqst.ca/;Canada;
University of Toronto - Centre for Quantum Information and Quantum Control;;university;http://cqiqc.physics.utoronto.ca/index.html;Canada;
University of Waterloo - Institute for Quantum Computing;;university;https://uwaterloo.ca/institute-for-quantum-computing/;Canada;
Centre for Quantum Photonics - University of Bristol;CQP;university;http://www.bristol.ac.uk/physics/research/quantum/;UK;
Durham University - Joint Quantum Centre;;university;https://www.jqc.org.uk/;UK;
Lancaster University - Quantum Technology Centre;;university;https://www.lancaster.ac.uk/quantum-technology/;UK;
Newcastle University - Joint Quantum Centre;;university;https://www.jqc.org.uk/;UK;
Oxford University;;university;http://oxfordquantum.org/;UK;
Sheffield University Quantum Centre;;university;https://quantum.shef.ac.uk/;UK;
University College London - Quantum Science and Technology Institute;UCLQ;university;https://www.ucl.ac.uk/quantum/;UK;
